national_park,pos,review_year,tokens,counts
Acadia National Park,ADJ,2018,free,49
Acadia National Park,ADJ,2018,french,1
Acadia National Park,ADJ,2018,frequent,1
Acadia National Park,ADJ,2018,fresh,13
Acadia National Park,ADJ,2018,friendly,26
Acadia National Park,ADJ,2018,front,2
Acadia National Park,ADJ,2018,frustrating,1
Acadia National Park,ADJ,2018,full,34
Acadia National Park,ADJ,2018,funny,1
Acadia National Park,ADJ,2018,further,1
Acadia National Park,ADJ,2018,future,3
Acadia National Park,ADJ,2018,general,2
Acadia National Park,ADJ,2018,gentle,1
Acadia National Park,ADJ,2018,geological,1
Acadia National Park,ADJ,2018,giant,1
Acadia National Park,ADJ,2018,glad,20
Acadia National Park,ADJ,2018,glorious,3
Acadia National Park,ADJ,2018,gonzo,1
Acadia National Park,ADJ,2018,good,91
Acadia National Park,ADJ,2018,goorgeous,1
Acadia National Park,ADJ,2018,gorgeous,50
Acadia National Park,ADJ,2018,gradual,1
Acadia National Park,ADJ,2018,grand,4
Acadia National Park,ADJ,2018,grandiose,1
Acadia National Park,ADJ,2018,grateful,1
Acadia National Park,ADJ,2018,great,237
Acadia National Park,ADJ,2018,greater,1
Acadia National Park,ADJ,2018,greatprose,1
Acadia National Park,ADJ,2018,green,9
Acadia National Park,ADJ,2018,greenest,1
Acadia National Park,ADJ,2018,grey,3
Acadia National Park,ADJ,2018,grim,1
Acadia National Park,ADJ,2018,groomed,1
Acadia National Park,ADJ,2018,grumpy,1
Acadia National Park,ADJ,2018,half,6
Acadia National Park,ADJ,2018,handy,1
Acadia National Park,ADJ,2018,hangout,1
Acadia National Park,ADJ,2018,happy,4
Acadia National Park,ADJ,2018,hard,19
Acadia National Park,ADJ,2018,harder,5
Acadia National Park,ADJ,2018,hardest,2
Acadia National Park,ADJ,2018,healthy,1
Acadia National Park,ADJ,2018,hearty,1
Acadia National Park,ADJ,2018,heavy,7
Acadia National Park,ADJ,2018,hectic,1
Acadia National Park,ADJ,2018,helpful,27
Acadia National Park,ADJ,2018,hidden,1
Acadia National Park,ADJ,2018,high,28
Acadia National Park,ADJ,2018,higher,1
Acadia National Park,ADJ,2018,highest,6
Acadia National Park,ADJ,2018,hike,2
Acadia National Park,ADJ,2018,historic,1
Acadia National Park,ADJ,2018,historical,2
Acadia National Park,ADJ,2018,hive,1
Acadia National Park,ADJ,2018,homemade,1
Acadia National Park,ADJ,2018,horrendous,1
Acadia National Park,ADJ,2018,horrible,1
Acadia National Park,ADJ,2018,huge,12
Acadia National Park,ADJ,2018,humped,1
Acadia National Park,ADJ,2018,iconic,3
Acadia National Park,ADJ,2018,ideal,2
Acadia National Park,ADJ,2018,idyllic,3
Acadia National Park,ADJ,2018,iffy,1
Acadia National Park,ADJ,2018,immaculate,1
Acadia National Park,ADJ,2018,immature,1
Acadia National Park,ADJ,2018,immense,2
Acadia National Park,ADJ,2018,impeccable,1
Acadia National Park,ADJ,2018,important,4
Acadia National Park,ADJ,2018,impossible,9
Acadia National Park,ADJ,2018,impressed,2
Acadia National Park,ADJ,2018,impressive,5
Acadia National Park,ADJ,2018,inclined,1
Acadia National Park,ADJ,2018,incoming,1
Acadia National Park,ADJ,2018,incrediable,1
Acadia National Park,ADJ,2018,incredible,22
Acadia National Park,ADJ,2018,individual,1
Acadia National Park,ADJ,2018,inexpensive,1
Acadia National Park,ADJ,2018,inexperienced,1
Acadia National Park,ADJ,2018,informative,8
Acadia National Park,ADJ,2018,informed,3
Acadia National Park,ADJ,2018,initial,1
Acadia National Park,ADJ,2018,intense,1
